round,fnr,fpr,entropy,transition_count,learning_rate
1,0.09892782664527745,0.03827037501212198,0,9,0.02
2,0.1155640640144753,0.06116159958617389,0,9,0.02
3,0.08839970031295606,0.043125447837894945,0,9,0.02
4,0.03735644552781268,0.02979525885945525,0,9,0.02
5,0.06846838704132342,0.05840005125608759,0,9,0.02
6,0.10821999380373344,0.0698105950753466,0,9,0.02
7,0.1341090429503007,0.049311861748915484,0,9,0.02
8,0.1291645630595045,0.045041097651093154,0,9,0.02
9,0.07458204638945616,0.0874159106295326,0,9,0.02
10,0.1332996016071996,0.0509039593757888,0,9,0.02
11,0.10865414404641231,0.04047758229822078,0,9,0.02
12,0.06938232011001617,0.04642446469455269,0,9,0.02
13,0.09145539005843174,0.053234872953272026,0,9,0.02
14,0.0549723749201992,0.06584398338660312,0,9,0.02
15,0.07380494567263296,0.07481451335719419,0,9,0.02
16,0.10070268938814807,0.05667922250951751,0,9,0.02
17,0.11809878003093,0.07133236917073286,0,9,0.02
18,0.08685183867525789,0.06660112896779244,0,9,0.02
19,0.1088734582711329,0.03741808302750383,0,9,0.02
20,0.12175859170523153,0.060435618822266696,0,9,0.02
21,0.05808372542097375,0.03231229423575963,0,9,0.02
22,0.10582190586009772,0.04078136982622705,0,9,0.02
23,0.0789675752429756,0.0412893707586188,0,9,0.02
24,0.13143405543592904,0.05491846961954172,0,9,0.02
25,0.16875172890888465,0.052866953851738625,0,9,0.02
26,0.040593101570515516,0.054751612240085776,0,9,0.02
27,0.08767350512849799,0.06893692857165043,0,9,0.02
28,0.09741494472473335,0.07219153353200072,0,9,0.02
29,0.1245444143069985,0.02838158703228332,0,9,0.02
30,0.06495256732733563,0.05830495998469085,0,9,0.02
31,0.11539977260901237,0.04487277553624494,0,9,0.02
32,0.09571438102719049,0.049016207985544,0,9,0.02
33,0.11785496335541744,0.07481473300820002,0,9,0.02
34,0.1400531615324997,0.08326101240305887,0,9,0.02
35,0.056578425179549655,0.06281361175867997,0,9,0.02
36,0.08418865486799229,0.0776928530555436,0,9,0.02
37,0.052471006822556364,0.03663528448884232,0,9,0.02
38,0.09505411880773769,0.045144332801752056,0,9,0.02
39,0.09538774868143618,0.060795375480162235,0,9,0.02
40,0.07880476318988672,0.06641368214002152,0,9,0.02
41,0.06140976744035802,0.08308310021451018,0,9,0.02
42,0.12101017277196033,0.04837055417880402,0,9,0.02
43,0.09105357339627837,0.03148700633398295,0,9,0.02
44,0.09240837799542291,0.06315086942892953,0,9,0.02
45,0.03785461670631755,0.056734743560530904,0,9,0.02
46,0.11738507261810742,0.06321608109787116,0,9,0.02
