round,fnr,fpr,entropy,transition_count,learning_rate
1,0.0,0.0,0,9,0.02
2,0.0,0.0,0,9,0.02
3,0.0,0.0,0,9,0.02
4,0.0,0.0,0,9,0.02
5,0.0,0.0,0,9,0.02
6,0.0,0.0,0,9,0.02
7,0.0,0.0,0,9,0.02
8,0.0,0.0,0,9,0.02
9,0.0,0.0,0,9,0.02
10,0.0,0.0,0,9,0.02
11,0.0,0.0,0,9,0.02
12,0.0,0.0,0,9,0.02
13,0.0,0.0,0,9,0.02
14,0.0,0.0,0,9,0.02
15,0.0,0.0,0,9,0.02
16,0.0,0.0,0,9,0.02
17,0.0,0.0,0,9,0.02
18,0.0,0.0,0,9,0.02
19,0.0,0.0,0,9,0.02
20,0.0,0.0,0,9,0.02
21,0.0,0.0,0,9,0.02
22,0.0,0.0,0,9,0.02
23,0.0,0.0,0,9,0.02
24,0.0,0.0,0,9,0.02
25,0.0,0.0,0,9,0.02
26,0.0,0.0,0,9,0.02
27,0.0,0.0,0,9,0.02
28,0.0,0.0,0,9,0.02
29,0.0,0.0,0,9,0.02
30,0.0,0.0,0,9,0.02
31,0.0,0.0,0,9,0.02
32,0.0,0.0,0,9,0.02
33,0.0,0.0,0,9,0.02
34,0.0,0.0,0,9,0.02
35,0.0,0.0,0,9,0.02
36,0.0,0.0,0,9,0.02
37,0.0,0.0,0,9,0.02
38,0.0,0.0,0,9,0.02
39,0.0,0.0,0,9,0.02
40,0.0,0.0,0,9,0.02
41,0.0,0.0,0,9,0.02
42,0.0,0.0,0,9,0.02
43,0.0,0.0,0,9,0.02
44,0.0,0.0,0,9,0.02
45,0.0,0.0,0,9,0.02
46,0.0,0.0,0,9,0.02
47,0.0,0.0,0,9,0.02
48,0.0,0.0,0,9,0.02
49,0.0,0.0,0,9,0.02
50,0.0,0.0,0,9,0.02
